# p1 30 p2 30 r1 0.1 r2 0.1 sigma 1 T 1 b1 1 b2 -1 x0 0 Nt 12 Nth 16 m 12 lambda 1e-07
# Jbar1 2.84029572355 Jbar2 2.84029572355 Jvar1 0.268161147873 Jvar2 0.268161147873
# t Xbar Dbar1 Dbar2 Dbar1_perfect_info
0 9.21981182977e-30 6.82563600593 -6.82563600593 4.64692365239
0.005 9.16320895752e-15 6.77675250073 -6.77675250073 4.63930783607
0.01 1.52389893829e-14 6.73010621542 -6.73010621542 4.63162209542
0.015 1.88698950933e-14 6.68546604473 -6.68546604473 4.62386578465
0.02 2.06039683672e-14 6.64262969799 -6.64262969799 4.61603825185
0.025 2.09049928707e-14 6.60142044311 -6.60142044311 4.60813883885
0.03 2.0161905988e-14 6.56168414106 -6.56168414106 4.60016688118
0.035 1.8697422779e-14 6.52328655094 -6.52328655094 4.59212170799
0.04 1.67759213739e-14 6.48611088721 -6.48611088721 4.58400264198
0.045 1.46106372888e-14 6.45005561116 -6.45005561116 4.57580899933
0.05 1.23702118876e-14 6.4150324398 -6.4150324398 4.56754008962
0.055 1.01846380405e-14 6.3809645563 -6.3809645563 4.55919521572
0.06 8.15064392202e-15 6.34778500672 -6.34778500672 4.55077367379
0.065 6.3365538601e-15 6.31543526901 -6.31543526901 4.54227475311
0.07 4.7866631848e-15 6.28386398043 -6.28386398043 4.53369773604
0.075 3.52516213223e-15 6.25302581104 -6.25302581104 4.52504189794
0.08 2.55964203326e-15 6.22288047094 -6.22288047094 4.51630650707
0.085 1.88421525703e-15 6.19339184016 -6.19339184016 4.50749082451
0.09 1.48227868372e-15 6.16452721046 -6.16452721046 4.49859410406
0.095 1.328948849e-15 6.13625662916 -6.13625662916 4.48961559214
0.1 1.39319533146e-15 6.1085523355 -6.1085523355 4.48055452771
0.105 1.63969744394e-15 6.08138828089 -6.08138828089 4.47141014219
0.11 2.03044783755e-15 6.05473972475 -6.05473972475 4.46218165931
0.115 2.52612523227e-15 6.02858289837 -6.02858289837 4.45286829504
0.12 3.08725714955e-15 6.00289472954 -6.00289472954 4.4434692575
0.125 3.67519223721e-15 5.97765262146 -5.97765262146 4.43398374682
0.13 4.25290054634e-15 5.95283427952 -5.95283427952 4.42441095503
0.135 4.78561893982e-15 5.92841758054 -5.92841758054 4.41475006598
0.14 5.24135768319e-15 5.9043804789 -5.9043804789 4.40500025521
0.145 5.59128318844e-15 5.88070094487 -5.88070094487 4.39516068979
0.15 5.80999084918e-15 5.85735693049 -5.85735693049 4.38523052825
0.155 5.87568091979e-15 5.83432635907 -5.83432635907 4.37520892045
0.16 5.77024945091e-15 5.81158713434 -5.81158713434 4.36509500741
0.165 5.47930539688e-15 5.7891171659 -5.7891171659 4.3548879212
0.17 4.99212415739e-15 5.76689440796 -5.76689440796 4.34458678483
0.175 4.30154700318e-15 5.74489690823 -5.74489690823 4.33419071206
0.18 3.40383506382e-15 5.72310286477 -5.72310286477 4.32369880728
0.185 2.2984858233e-15 5.70149068823 -5.70149068823 4.31311016536
0.19 9.88019373852e-16 5.68003906763 -5.68003906763 4.30242387149
0.195 -5.2225897881e-16 5.65872703775 -5.65872703775 4.29163900101
0.2 -2.22451378833e-15 5.63753404659 -5.63753404659 4.28075461929
0.205 -4.10864683544e-15 5.61644002155 -5.61644002155 4.26976978148
0.21 -6.16257196174e-15 5.59542543308 -5.59542543308 4.25868353244
0.215 -8.37249306247e-15 5.57447135476 -5.57447135476 4.24749490644
0.22 -1.07231814218e-14 5.55355951911 -5.55355951911 4.23620292709
0.225 -1.31982490346e-14 5.53267236821 -5.53267236821 4.22480660706
0.23 -1.57804149889e-14 5.51179309873 -5.51179309873 4.21330494792
0.235 -1.84517623891e-14 5.49090570096 -5.49090570096 4.20169693993
0.24 -2.11939836706e-14 5.46999499133 -5.46999499133 4.18998156182
0.245 -2.39886125125e-14 5.4490466385 -5.4490466385 4.17815778059
0.25 -2.68172408755e-14 5.42804718266 -5.42804718266 4.16622455123
0.255 -2.96617199922e-14 5.40698404825 -5.40698404825 4.15418081657
0.26 -3.25043444176e-14 5.38584554995 -5.38584554995 4.14202550694
0.265 -3.53280184997e-14 5.3646208923 -5.3646208923 4.12975754
0.27 -3.81164048623e-14 5.34330016298 -5.34330016298 4.11737582042
0.275 -4.08540547103e-14 5.3218743201 -5.3218743201 4.10487923965
0.28 -4.35265199533e-14 5.30033517378 -5.30033517378 4.09226667559
0.285 -4.6120447326e-14 5.27867536244 -5.27867536244 4.07953699236
0.29 -4.86236548342e-14 5.25688832398 -5.25688832398 4.06668903997
0.295 -5.10251909973e-14 5.23496826262 -5.23496826262 4.05372165399
0.3 -5.33153774824e-14 5.21291011145 -5.21291011145 4.04063365525
0.305 -5.54858358311e-14 5.19070949143 -5.19070949143 4.02742384951
0.31 -5.75294990735e-14 5.16836266717 -5.16836266717 4.01409102707
0.315 -5.94406091053e-14 5.14586650007 -5.14586650007 4.00063396246
0.32 -6.12147007659e-14 5.12321839911 -5.12321839911 3.98705141405
0.325 -6.28485736148e-14 5.10041627003 -5.10041627003 3.97334212364
0.33 -6.43402524395e-14 5.07745846318 -5.07745846318 3.95950481608
0.335 -6.56889375641e-14 5.05434372057 -5.05434372057 3.94553819884
0.34 -6.68949460464e-14 5.03107112257 -5.03107112257 3.93144096159
0.345 -6.79596448622e-14 5.00764003474 -5.00764003474 3.91721177573
0.35 -6.88853771784e-14 4.98405005514 -4.98405005514 3.90284929394
0.355 -6.96753828114e-14 4.96030096258 -4.96030096258 3.88835214969
0.36 -7.03337139511e-14 4.93639266616 -4.93639266617 3.87371895673
0.365 -7.08651472121e-14 4.91232515653 -4.91232515653 3.85894830857
0.37 -7.1275093046e-14 4.88809845902 -4.88809845902 3.84403877795
0.375 -7.15695035141e-14 4.86371258922 -4.86371258922 3.82898891627
0.38 -7.17547793833e-14 4.83916751106 -4.83916751106 3.81379725301
0.385 -7.18376774628e-14 4.8144630977 -4.8144630977 3.79846229512
0.39 -7.18252190535e-14 4.78959909554 -4.78959909554 3.78298252638
0.395 -7.17246003273e-14 4.76457509145 -4.76457509145 3.76735640679
0.4 -7.15431054042e-14 4.73939048335 -4.73939048335 3.75158237184
0.405 -7.12880228311e-14 4.71404445436 -4.71404445436 3.73565883188
0.41 -7.09665661126e-14 4.68853595061 -4.68853595061 3.71958417131
0.415 -7.05857988779e-14 4.66286366271 -4.66286366271 3.7033567479
0.42 -7.01525652078e-14 4.63702601094 -4.63702601094 3.68697489197
0.425 -6.96734255794e-14 4.6110211342 -4.6110211342 3.67043690562
0.43 -6.91545988242e-14 4.58484688275 -4.58484688275 3.65374106184
0.435 -6.86019104272e-14 4.5585008145 -4.5585008145 3.6368856037
0.44 -6.80207474325e-14 4.53198019506 -4.53198019506 3.61986874341
0.445 -6.74160201547e-14 4.50528200112 -4.50528200112 3.60268866143
0.45 -6.67921308332e-14 4.47840292741 -4.47840292741 3.58534350548
0.455 -6.61529493034e-14 4.45133939669 -4.45133939669 3.56783138958
0.46 -6.55017956983e-14 4.42408757298 -4.42408757298 3.55015039301
0.465 -6.48414301344e-14 4.39664337756 -4.39664337756 3.53229855925
0.47 -6.41740492794e-14 4.3690025077 -4.3690025077 3.51427389489
0.475 -6.3501289643e-14 4.34116045776 -4.34116045776 3.49607436852
0.48 -6.28242373815e-14 4.31311254256 -4.31311254256 3.47769790955
0.485 -6.21434443553e-14 4.28485392271 -4.28485392271 3.45914240704
0.49 -6.14589501332e-14 4.25637963155 -4.25637963155 3.44040570844
0.495 -6.07703095928e-14 4.2276846036 -4.2276846036 3.42148561835
0.5 -6.00766257261e-14 4.19876370406 -4.19876370406 3.40237989721
0.505 -5.93765872236e-14 4.16961175916 -4.16961175916 3.38308625997
0.51 -5.86685103742e-14 4.14022358718 -4.14022358718 3.36360237472
0.515 -5.79503847923e-14 4.11059402955 -4.11059402955 3.34392586128
0.52 -5.72199224554e-14 4.08071798206 -4.08071798206 3.3240542898
0.525 -5.64746095126e-14 4.05059042568 -4.05059042568 3.30398517925
0.53 -5.57117603108e-14 4.02020645684 -4.02020645684 3.28371599595
0.535 -5.49285730667e-14 3.98956131673 -3.98956131673 3.26324415204
0.54 -5.4122186607e-14 3.95865041956 -3.95865041956 3.24256700395
0.545 -5.32897375907e-14 3.92746937932 -3.92746937932 3.22168185081
0.55 -5.24284176293e-14 3.89601403495 -3.89601403495 3.20058593285
0.555 -5.15355297198e-14 3.86428047355 -3.86428047355 3.17927642981
0.56 -5.0608543416e-14 3.83226505159 -3.83226505159 3.15775045934
0.565 -4.96451481719e-14 3.79996441366 -3.79996441366 3.13600507529
0.57 -4.86433043075e-14 3.76737550893 -3.76737550893 3.11403726618
0.575 -4.7601291067e-14 3.73449560477 -3.73449560477 3.09184395349
0.58 -4.65177512604e-14 3.70132229774 -3.70132229774 3.06942199008
0.585 -4.53917320078e-14 3.66785352159 -3.66785352159 3.04676815858
0.59 -4.42227211368e-14 3.63408755236 -3.63408755236 3.02387916979
0.595 -4.30106788164e-14 3.60002301035 -3.60002301035 3.00075166117
0.6 -4.17560640468e-14 3.56565885909 -3.56565885909 2.9773821953
0.605 -4.04598556705e-14 3.53099440117 -3.53099440117 2.95376725846
0.61 -3.91235676064e-14 3.49602927101 -3.49602927101 2.92990325925
0.615 -3.77492580631e-14 3.4607634247 -3.4607634247 2.9057865273
0.62 -3.63395325306e-14 3.42519712676 -3.42519712676 2.88141331205
0.625 -3.48975404048e-14 3.3893309342 -3.3893309342 2.8567797817
0.63 -3.34269651534e-14 3.35316567784 -3.35316567784 2.83188202225
0.635 -3.19320079849e-14 3.31670244114 -3.31670244114 2.80671603668
0.64 -3.04173650439e-14 3.2799425367 -3.2799425367 2.78127774439
0.645 -2.88881982114e-14 3.24288748071 -3.24288748071 2.7555629807
0.65 -2.73500996506e-14 3.20553896549 -3.20553896549 2.72956749673
0.655 -2.58090502996e-14 3.16789883059 -3.16789883059 2.70328695942
0.66 -2.42713725732e-14 3.12996903263 -3.12996903263 2.67671695187
0.665 -2.27436775955e-14 3.09175161416 -3.09175161416 2.64985297404
0.67 -2.12328073502e-14 3.05324867212 -3.05324867212 2.62269044371
0.675 -1.97457721906e-14 3.01446232606 -3.01446232606 2.59522469794
0.68 -1.82896842135e-14 2.97539468661 -2.97539468661 2.56745099486
0.685 -1.68716870586e-14 2.93604782465 -2.93604782465 2.53936451602
0.69 -1.54988827482e-14 2.89642374156 -2.89642374156 2.51096036921
0.695 -1.41782562387e-14 2.85652434102 -2.85652434102 2.48223359188
0.7 -1.29165984008e-14 2.81635140277 -2.81635140277 2.45317915516
0.705 -1.1720428198e-14 2.77590655889 -2.77590655889 2.42379196856
0.71 -1.059591487e-14 2.73519127295 -2.73519127295 2.39406688545
0.715 -9.54880097028e-15 2.6942068225 -2.6942068225 2.36399870928
0.72 -8.58432713893e-15 2.65295428544 -2.65295428544 2.33358220069
0.725 -7.70715951966e-15 2.61143453064 -2.61143453064 2.30281208555
0.73 -6.92132075332e-15 2.56964821316 -2.56964821316 2.27168306398
0.735 -6.230125494e-15 2.52759577462 -2.52759577462 2.24018982041
0.74 -5.63612140317e-15 2.485277449 -2.485277449 2.20832703485
0.745 -5.14103657695e-15 2.44269327419 -2.44269327419 2.17608939527
0.75 -4.7457343538e-15 2.39984310961 -2.39984310961 2.14347161131
0.755 -4.45017643243e-15 2.35672666015 -2.35672666015 2.1104684293
0.76 -4.25339520281e-15 2.31334350668 -2.31334350668 2.07707464877
0.765 -4.15347615558e-15 2.26969314307 -2.26969314307 2.0432851403
0.77 -4.14755118652e-15 2.22577501999 -2.22577501999 2.00909486504
0.775 -4.23180355218e-15 2.1815885954 -2.1815885954 1.97449889577
0.78 -4.40148515965e-15 2.13713339151 -2.13713339151 1.93949243961
0.785 -4.65094678711e-15 2.09240905817 -2.09240905817 1.90407086242
0.79 -4.97368173108e-15 2.04741544228 -2.04741544228 1.86822971495
