# p1 1000 p2 1000 r1 0.1 r2 0.1 sigma 1 T 1 b1 1 b2 -1 x0 0 Nt 12 Nth 16 m 12 lambda 1e-07
# Jbar1 2.25000504931 Jbar2 2.25000504932 Jvar1 0.18199642783 Jvar2 0.18199642783
# t Xbar Dbar1 Dbar2 Dbar1_perfect_info
0 1.19423680289e-27 5.11630274266 -5.11630274266 4.64692365239
0.005 -6.42448092356e-15 5.07134441649 -5.07134441648 4.63930783607
0.01 9.99419637626e-15 5.03527400365 -5.03527400364 4.63162209542
0.015 4.43783459576e-14 5.00638981249 -5.00638981248 4.62386578465
0.02 9.25682290123e-14 4.98323427001 -4.98323427 4.61603825185
0.025 1.51042653856e-13 4.96456710761 -4.9645671076 4.60813883885
0.03 2.16846190224e-13 4.94934081449 -4.94934081448 4.60016688118
0.035 2.87522585018e-13 4.93667821191 -4.9366782119 4.59212170799
0.04 3.6105398558e-13 4.925852009 -4.92585200898 4.58400264198
0.045 4.35805594905e-13 4.91626620728 -4.91626620727 4.57580899933
0.05 5.10475400935e-13 4.90743922811 -4.9074392281 4.56754008962
0.055 5.84048639211e-13 4.89898864297 -4.89898864295 4.55919521572
0.06 6.55756664749e-13 4.89061739326 -4.89061739325 4.55077367379
0.065 7.25039925017e-13 4.88210139187 -4.88210139186 4.54227475311
0.07 7.9151474135e-13 4.87327840435 -4.87327840434 4.53369773604
0.075 8.54943621078e-13 4.86403811339 -4.86403811338 4.52504189794
0.08 9.15208837042e-13 4.85431327529 -4.85431327528 4.51630650707
0.085 9.72289025068e-13 4.84407188212 -4.8440718821 4.50749082451
0.09 1.02623856336e-12 4.83331024853 -4.83331024852 4.49859410406
0.095 1.07716951066e-12 4.82204694642 -4.82204694641 4.48961559214
0.1 1.12523589247e-12 4.81031751548 -4.81031751547 4.48055452771
0.105 1.17062013656e-12 4.79816988177 -4.79816988176 4.47141014219
0.11 1.21352147047e-12 4.78566042078 -4.78566042077 4.46218165931
0.115 1.25414610482e-12 4.77285060532 -4.77285060531 4.45286829504
0.12 1.29269903672e-12 4.75980418233 -4.75980418232 4.4434692575
0.125 1.32937731802e-12 4.74658482643 -4.74658482642 4.43398374682
0.13 1.3643646425e-12 4.73325422159 -4.73325422158 4.42441095503
0.135 1.39782711596e-12 4.71987052538 -4.71987052537 4.41475006598
