# p1 1 p2 1 r1 0.1 r2 0.1 sigma 1 T 1 b1 1 b2 -1 x0 0 Nt 12 Nth 16 m 12 lambda 1e-07
# Jbar1 4.03381011811 Jbar2 4.03381011811 Jvar1 0.450520492142 Jvar2 0.450520492142
# t Xbar Dbar1 Dbar2 Dbar1_perfect_info
0 -2.7117093617e-30 9.47708253873 -9.47708253873 4.64692365239
0.005 7.20713453036e-17 9.42724837213 -9.42724837213 4.63930783607
0.01 1.42615837176e-16 9.37770383479 -9.37770383479 4.63162209542
0.015 2.17432392611e-16 9.32840279998 -9.32840279998 4.62386578465
0.02 3.00797581913e-16 9.27930664733 -9.27930664733 4.61603825185
0.025 3.9568280072e-16 9.2303833621 -9.2303833621 4.60813883885
0.03 5.03951052078e-16 9.18160671472 -9.18160671472 4.60016688118
0.035 6.265346696e-16 9.13295551532 -9.13295551532 4.59212170799
0.04 7.63595252197e-16 9.08441293795 -9.08441293795 4.58400264198
0.045 9.14667022173e-16 9.03596590989 -9.03596590989 4.57580899933
0.05 1.07878476154e-15 8.98760456122 -8.98760456122 4.56754008962
0.055 1.2545974263e-15 8.93932173038 -8.93932173038 4.55919521572
0.06 1.44046848513e-15 8.8911125217 -8.8911125217 4.55077367379
0.065 1.63456397696e-15 8.8429739107 -8.8429739107 4.54227475311
0.07 1.8349292325e-15 8.79490439379 -8.79490439379 4.53369773604
0.075 2.0395551556e-15 8.74690367864 -8.74690367864 4.52504189794
0.08 2.24643491449e-15 8.69897241196 -8.69897241196 4.51630650707
0.085 2.45361184702e-15 8.65111194173 -8.65111194173 4.50749082451
0.09 2.65921934095e-15 8.60332411071 -8.60332411071 4.49859410406
0.095 2.86151340794e-15 8.55561107874 -8.55561107874 4.48961559214
0.1 3.0588986294e-15 8.50797517095 -8.50797517095 4.48055452771
0.105 3.24994811327e-15 8.46041874979 -8.46041874979 4.47141014219
0.11 3.43341806296e-15 8.41294410831 -8.41294410831 4.46218165931
0.115 3.60825752342e-15 8.36555338272 -8.36555338272 4.45286829504
0.12 3.77361383434e-15 8.31824848224 -8.31824848224 4.4434692575
0.125 3.92883428702e-15 8.27103103437 -8.27103103437 4.43398374682
