# p1 3 p2 3 r1 0.1 r2 0.1 sigma 1 T 1 b1 1 b2 -1 x0 0 Nt 12 Nth 16 m 12 lambda 1e-07
# Jbar1 3.6972678977 Jbar2 3.6972678977 Jvar1 0.396847000282 Jvar2 0.396847000282
# t Xbar Dbar1 Dbar2 Dbar1_perfect_info
0 4.10207670715e-29 8.83056942734 -8.83056942734 4.64692365239
0.005 1.58105136028e-14 8.7809354714 -8.7809354714 4.63930783607
0.01 2.80750059152e-14 8.73194464096 -8.73194464096 4.63162209542
0.015 3.74705327699e-14 8.68350748881 -8.68350748881 4.62386578465
0.02 4.45725683184e-14 8.63554866329 -8.63554866328 4.61603825185
0.025 4.98663165553e-14 8.58800521969 -8.58800521969 4.60813883885
0.03 5.37570797923e-14 8.54082508231 -8.54082508231 4.60016688118
0.035 5.65797431621e-14 8.49396564708 -8.49396564708 4.59212170799
0.04 5.86074314952e-14 8.44739251526 -8.44739251526 4.58400264198
0.045 6.00593922706e-14 8.40107834904 -8.40107834904 4.57580899933
0.05 6.11081557816e-14 8.35500184039 -8.35500184039 4.56754008962
0.055 6.18860211907e-14 8.30914678495 -8.30914678495 4.55919521572
0.06 6.2490914754e-14 8.26350125328 -8.26350125328 4.55077367379
0.065 6.29916641945e-14 8.21805685196 -8.21805685196 4.54227475311
0.07 6.34327309726e-14 8.17280806781 -8.17280806781 4.53369773604
0.075 6.38384400579e-14 8.12775168841 -8.12775168841 4.52504189794
0.08 6.42167447329e-14 8.08288629292 -8.08288629292 4.51630650707
0.085 6.45625619625e-14 8.03821180728 -8.03821180728 4.50749082451
0.09 6.48607119418e-14 7.99372911828 -7.99372911828 4.49859410406
0.095 6.50884935792e-14 7.94943974139 -7.94943974139 4.48961559214
0.1 6.52179258936e-14 7.9053455374 -7.9053455374 4.48055452771
0.105 6.52176835871e-14 7.86144847342 -7.86144847342 4.47141014219
0.11 6.50547534101e-14 7.81775042388 -7.81775042388 4.46218165931
0.115 6.46958363504e-14 7.77425300765 -7.77425300765 4.45286829504
0.12 6.4108519162e-14 7.73095745742 -7.73095745742 4.4434692575
0.125 6.32622372888e-14 7.68786451803 -7.68786451803 4.43398374682
0.13 6.21290498448e-14 7.64497437037 -7.64497437037 4.42441095503
0.135 6.06842459706e-14 7.60228657794 -7.60228657794 4.41475006598
0.14 5.89068006092e-14 7.55980005332 -7.55980005332 4.40500025521
0.145 5.67796965142e-14 7.51751304185 -7.51751304185 4.39516068979
0.15 5.42901281376e-14 7.47542312035 -7.47542312036 4.38523052825
0.155 5.14296019216e-14 7.4335272085 -7.4335272085 4.37520892045
0.16 4.81939464549e-14 7.39182159099 -7.39182159099 4.36509500741
0.165 4.45832449375e-14 7.35030194865 -7.35030194865 4.3548879212
0.17 4.06017014269e-14 7.30896339676 -7.30896339676 4.34458678483
0.175 3.62574514213e-14 7.26780052918 -7.26780052919 4.33419071206
0.18 3.15623264569e-14 7.22680746679 -7.22680746679 4.32369880728
0.185 2.6531581568e-14 7.18597790909 -7.18597790909 4.31311016536
0.19 2.11835936699e-14 7.1453051879 -7.1453051879 4.30242387149
0.195 1.55395381785e-14 7.104782322 -7.104782322 4.29163900101
0.2 9.62305047636e-15 7.06440207206 -7.06440207206 4.28075461929
0.205 3.45987816776e-15 7.02415699494 -7.02415699494 4.26976978148
0.21 -2.92247056141e-15 6.98403949675 -6.98403949675 4.25868353244
0.215 -9.49507775568e-15 6.94404188409 -6.94404188409 4.24749490644
0.22 -1.62279615053e-14 6.90415641301 -6.90415641301 4.23620292709
0.225 -2.30904131178e-14 6.86437533521 -6.86437533522 4.22480660706
0.23 -3.00513224873e-14 6.82469094131 -6.82469094131 4.21330494792
0.235 -3.70794889587e-14 6.78509560066 -6.78509560066 4.20169693993
